,Temp_Avg_C,Temp_Max_C,Temp_Min_C,Humidity_%,WindSpeed_ms,Solar_MJm2day,Rainfall_mm
2019-01-30,21.35,26.41,15.78,71.94,1.44,19.58,4.25
2019-01-31,22.41,30.59,14.12,65.76,1.76,24.6,0.1
2019-02-01,23.25,31.34,17.04,66.86,1.94,24.71,0.2
2019-02-02,22.57,28.37,16.48,68.19,1.61,18.04,0.35
2019-02-03,24.03,32.13,15.89,60.92,1.52,23.74,0.0
2019-02-04,24.27,32.2,16.31,64.87,1.36,22.61,0.09
2019-02-05,22.81,28.69,17.41,72.22,1.41,17.56,2.63
2019-02-06,22.12,27.19,17.35,72.46,1.2,20.72,4.37
2019-02-07,21.4,26.04,16.8,76.73,1.37,15.14,4.53
2019-02-08,21.33,25.73,17.93,80.52,1.24,21.05,11.84
2019-02-09,22.39,27.84,17.18,73.84,1.34,21.38,3.6
2019-02-10,23.59,29.4,18.4,67.94,1.14,12.62,0.99
2019-02-11,22.71,28.78,17.56,72.02,1.48,15.82,0.05
2019-02-12,22.46,29.55,16.16,71.78,1.75,18.51,0.29
2019-02-13,23.35,31.75,17.17,64.6,2.13,24.85,0.1
2019-02-14,22.85,30.18,16.86,65.69,1.8,23.05,1.0
2019-02-15,23.56,31.68,15.75,62.08,1.71,19.88,0.93
2019-02-16,23.33,29.64,17.31,65.23,1.53,15.65,0.29
2019-02-17,22.19,27.49,18.05,72.98,0.99,14.72,8.44
2019-02-18,23.22,29.71,17.39,64.81,1.3,10.51,0.24
2019-02-19,23.14,29.44,16.98,63.52,1.7,20.75,0.18
2019-02-20,21.54,24.81,18.62,71.32,0.97,13.09,0.28
2019-02-21,20.64,24.78,18.1,79.49,1.65,11.88,8.35
2019-02-22,19.81,23.75,17.37,86.58,1.34,13.32,41.84
2019-02-23,19.62,23.43,16.49,84.11,0.96,14.98,4.2
2019-02-24,19.83,24.35,16.49,81.95,0.94,12.86,4.73
2019-02-25,20.25,25.87,15.62,77.55,1.3,14.57,0.49
2019-02-26,21.86,28.52,15.29,73.11,1.53,26.08,0.06
2019-02-27,21.49,27.47,16.02,74.62,1.38,25.65,2.15
2019-02-28,22.32,29.47,15.91,66.55,1.21,24.8,0.1
2019-03-01,22.76,30.17,16.26,66.55,1.5,13.23,0.28
2019-03-02,20.21,26.58,16.28,80.99,1.64,7.97,15.36
2019-03-03,21.56,27.97,14.91,72.7,1.24,21.45,1.27
2019-03-04,21.55,26.48,16.96,71.88,1.12,9.16,0.66
2019-03-05,20.73,24.62,17.41,75.14,0.83,15.45,1.0
2019-03-06,20.27,24.03,16.42,76.88,1.0,11.48,2.3
2019-03-07,20.73,25.82,16.04,75.36,1.26,23.67,0.72
2019-03-08,22.19,28.42,16.0,67.51,1.95,21.63,1.2
2019-03-09,21.97,28.11,15.64,69.42,1.47,24.68,0.46
2019-03-10,22.15,27.84,16.42,69.32,1.14,11.47,1.84
2019-03-11,22.74,29.58,15.54,67.87,1.18,24.84,1.03
2019-03-12,22.54,28.85,16.01,68.2,1.48,18.51,2.28
2019-03-13,22.76,30.05,15.68,67.8,1.62,15.83,1.23
2019-03-14,22.55,29.7,15.96,71.26,1.58,12.38,3.9
2019-03-15,22.88,30.15,16.85,70.27,1.76,19.57,2.1
2019-03-16,21.75,26.23,17.74,74.85,1.39,19.93,13.23
2019-03-17,22.31,28.78,17.36,69.65,1.3,16.77,1.87
2019-03-18,22.74,29.98,15.98,70.26,1.57,23.18,0.19
2019-03-19,22.24,27.58,15.86,71.35,1.52,19.0,0.52
2019-03-20,23.38,28.95,17.77,64.59,1.42,20.92,0.81
2019-03-21,23.39,30.54,16.84,64.88,1.4,17.85,0.53
2019-03-22,22.45,28.66,16.62,73.12,1.71,25.21,1.76
2019-03-23,22.83,28.22,17.64,71.46,1.56,22.11,0.7
2019-03-24,22.39,28.2,16.63,70.89,1.55,21.59,0.98
2019-03-25,22.78,30.22,15.55,67.35,1.56,16.01,0.41
2019-03-26,23.12,29.71,16.12,67.41,1.57,12.23,3.64
2019-03-27,23.95,29.55,18.54,65.58,1.48,14.59,4.0
2019-03-28,21.05,23.75,17.58,77.95,0.74,11.09,1.41
2019-03-29,21.17,25.86,16.82,73.88,1.0,24.17,0.96
2019-03-30,21.13,27.26,16.38,78.31,1.08,17.02,22.61
2019-03-31,21.25,27.44,16.52,77.19,1.84,21.0,0.91
2019-04-01,22.16,29.51,15.37,73.03,1.4,15.3,0.89
2019-04-02,20.15,24.1,16.8,85.59,1.42,15.87,9.09
2019-04-03,21.67,27.69,16.75,77.24,1.32,18.42,1.22
2019-04-04,21.01,24.74,17.57,82.96,1.28,17.02,2.65
2019-04-05,21.07,26.66,17.9,83.18,1.85,21.41,5.35
2019-04-06,22.46,28.59,17.68,75.42,2.24,25.2,0.74
2019-04-07,22.65,29.52,17.32,71.7,2.33,23.1,0.07
2019-04-08,23.17,30.16,16.74,71.21,1.44,22.17,0.65
2019-04-09,21.89,26.86,17.63,78.83,1.5,15.6,3.86
2019-04-10,20.32,23.85,17.27,81.5,0.73,19.93,5.75
2019-04-11,21.72,28.09,16.39,73.05,1.28,24.05,0.05
2019-04-12,19.8,23.02,16.93,87.34,1.46,13.19,15.16
2019-04-13,21.02,25.64,16.79,81.07,1.4,15.09,0.78
2019-04-14,20.06,24.37,16.2,83.44,1.14,17.13,3.79
2019-04-15,21.6,26.7,17.65,78.32,1.15,19.09,1.61
2019-04-16,21.53,26.33,17.84,79.01,1.53,16.94,5.72
2019-04-17,20.66,26.77,16.18,77.78,1.85,19.73,2.06
2019-04-18,21.46,27.87,16.14,72.9,2.34,21.06,1.32
2019-04-19,22.07,29.45,15.88,72.67,2.4,24.21,0.18
2019-04-20,22.76,29.12,17.89,73.31,1.76,17.66,1.99
2019-04-21,21.36,25.71,16.69,78.1,1.29,13.21,1.96
2019-04-22,20.1,23.95,16.65,83.54,1.31,6.17,7.41
2019-04-23,19.48,23.13,16.25,85.14,0.97,20.9,9.7
2019-04-24,21.59,27.07,16.47,77.12,0.99,22.11,5.68
2019-04-25,22.44,27.18,18.15,76.69,0.78,17.91,9.88
2019-04-26,20.13,22.18,17.69,89.06,0.96,9.34,17.61
2019-04-27,20.15,24.65,16.34,82.28,0.91,14.65,6.36
2019-04-28,21.61,26.99,16.97,77.68,1.21,19.06,2.04
2019-04-29,21.66,27.0,16.83,80.01,1.39,15.27,0.8
2019-04-30,20.47,23.9,17.13,88.28,1.56,16.49,1.22
2019-05-01,20.74,24.89,17.04,86.96,1.19,17.25,3.52
2019-05-02,21.27,26.92,16.85,82.08,1.62,19.22,1.68
2019-05-03,21.29,25.78,17.01,82.67,1.04,20.47,1.09
2019-05-04,21.53,26.94,17.14,80.46,1.93,20.06,0.6
2019-05-05,19.09,22.84,16.08,87.41,2.23,13.96,2.29
2019-05-06,20.79,26.77,15.81,81.12,2.36,18.52,3.07
2019-05-07,20.46,25.47,17.04,83.33,2.01,17.48,13.64
2019-05-08,20.61,25.88,16.31,82.48,1.92,17.54,3.25
2019-05-09,20.29,24.93,17.0,84.04,1.95,20.24,3.67
2019-05-10,20.4,25.61,15.97,84.15,1.7,14.14,3.57
2019-05-11,19.21,22.47,16.95,83.49,2.31,16.83,3.32
2019-05-12,20.55,26.85,15.19,75.58,2.05,17.15,0.53
2019-05-13,20.64,26.04,16.12,79.29,2.27,16.44,1.08
2019-05-14,20.79,25.26,16.94,80.8,1.99,17.26,1.4
2019-05-15,19.81,24.42,16.41,82.63,1.85,17.5,3.3
2019-05-16,20.08,24.52,15.64,80.65,1.8,17.97,7.59
2019-05-17,20.32,25.63,16.04,80.63,1.79,17.96,0.95
2019-05-18,20.98,26.31,15.61,78.54,1.84,14.8,1.76
2019-05-19,19.37,23.1,16.14,86.52,1.65,11.62,13.27
2019-05-20,19.95,25.37,15.01,83.74,1.54,18.51,6.14
2019-05-21,20.26,24.8,16.6,81.84,1.88,17.62,7.96
2019-05-22,20.97,26.87,15.54,76.57,1.57,15.3,1.48
2019-05-23,20.04,25.02,16.05,83.79,1.98,10.16,7.33
2019-05-24,19.7,25.25,16.11,83.67,2.04,16.26,3.5
2019-05-25,19.96,24.63,15.99,81.83,1.99,17.26,6.88
2019-05-26,19.56,24.44,15.67,84.67,1.95,14.96,10.55
2019-05-27,20.4,25.14,15.85,81.84,1.94,16.83,4.23
2019-05-28,19.99,24.39,15.72,82.42,1.75,16.56,6.05
2019-05-29,20.35,25.96,15.33,80.12,1.86,15.77,4.31
2019-05-30,20.76,26.35,15.93,78.89,1.8,15.93,1.77
2019-05-31,20.73,26.08,15.84,79.52,1.67,18.2,1.04
2019-06-01,21.39,26.9,16.31,77.7,0.87,17.15,3.14
2019-06-02,20.24,23.01,18.19,86.13,1.08,13.51,22.82
2019-06-03,20.67,24.93,17.33,82.1,1.23,14.52,27.83
2019-06-04,20.07,23.79,17.1,80.7,1.4,5.43,1.24
2019-06-05,20.2,24.93,16.11,78.61,1.34,15.5,3.64
2019-06-06,19.71,24.06,16.86,80.28,1.42,15.15,3.69
2019-06-07,20.14,24.96,16.23,80.39,1.29,9.55,0.4
2019-06-08,20.11,24.87,16.13,81.47,1.54,14.43,1.03
2019-06-09,19.66,24.42,15.97,81.49,1.96,15.22,0.57
2019-06-10,19.61,25.49,14.92,76.63,2.05,17.54,0.03
2019-06-11,19.18,24.61,14.09,73.14,1.74,16.42,0.01
2019-06-12,19.75,25.42,14.7,74.02,1.99,18.95,0.01
2019-06-13,20.28,26.46,15.53,75.72,2.18,17.42,0.06
2019-06-14,20.66,26.93,15.7,77.19,2.24,18.18,0.29
2019-06-15,20.72,26.55,14.61,73.65,1.67,18.19,0.28
2019-06-16,20.89,26.6,15.32,72.19,1.46,16.85,0.11
2019-06-17,20.33,26.49,16.12,70.43,2.05,16.01,0.03
2019-06-18,20.33,27.22,14.61,68.34,1.79,18.09,0.0
2019-06-19,20.99,27.66,14.98,69.22,1.63,19.4,0.02
2019-06-20,21.67,28.48,14.73,70.02,1.65,21.03,0.03
2019-06-21,21.84,28.32,15.34,68.11,1.74,18.93,3.83
2019-06-22,20.58,25.91,16.69,78.15,1.43,14.12,3.97
2019-06-23,20.68,26.34,16.29,76.78,1.12,11.89,3.52
2019-06-24,20.42,25.15,17.74,82.68,0.97,13.94,9.63
2019-06-25,18.75,21.59,15.65,87.22,1.51,13.58,9.25
2019-06-26,19.71,25.35,14.79,78.62,1.67,11.87,0.66
2019-06-27,19.55,24.38,16.08,82.09,1.59,13.58,2.53
2019-06-28,20.55,26.25,15.13,74.15,1.59,18.32,0.73
2019-06-29,20.59,27.14,14.22,71.82,1.65,19.94,0.07
2019-06-30,20.83,26.87,14.83,71.99,1.92,18.64,0.34
2019-07-01,20.5,27.95,13.9,69.59,2.18,22.94,0.0
2019-07-02,20.3,28.11,13.07,64.66,1.92,24.1,0.0
2019-07-03,20.46,27.53,14.01,68.29,2.18,22.66,0.08
2019-07-04,20.56,27.04,14.97,67.95,1.96,17.93,0.15
2019-07-05,21.28,28.07,15.63,65.86,1.63,21.57,0.11
2019-07-06,21.3,27.91,14.38,66.57,1.54,16.79,0.41
2019-07-07,20.85,27.12,15.46,74.03,1.89,15.0,2.69
2019-07-08,21.14,27.68,15.14,72.9,2.01,15.85,2.18
2019-07-09,19.72,23.73,17.23,80.13,1.68,12.35,13.8
2019-07-10,20.18,25.83,16.06,76.81,1.76,16.06,4.85
2019-07-11,20.95,27.01,15.85,72.68,2.34,18.43,0.35
2019-07-12,20.38,24.66,16.9,72.57,1.61,13.08,0.14
2019-07-13,18.06,21.84,14.62,84.04,1.81,9.54,1.9
2019-07-14,20.04,27.04,13.94,74.23,1.87,18.54,0.18
2019-07-15,20.81,27.07,15.65,68.71,2.34,22.1,0.01
2019-07-16,19.55,25.72,13.29,71.46,2.06,19.61,0.0
2019-07-17,20.43,26.63,15.71,67.58,2.3,19.5,0.0
2019-07-18,20.45,27.62,13.99,67.59,2.31,20.69,0.0
2019-07-19,20.99,28.16,14.18,66.33,1.77,21.0,0.0
2019-07-20,22.07,28.75,15.18,64.34,1.3,20.37,0.17
2019-07-21,21.76,28.46,15.5,69.65,1.72,16.83,0.2
2019-07-22,21.75,28.58,16.31,63.16,2.37,18.7,0.0
2019-07-23,21.01,28.16,13.41,59.22,1.84,18.9,0.05
2019-07-24,21.38,28.29,13.47,60.4,1.26,13.08,0.1
2019-07-25,22.06,28.76,15.17,58.81,1.47,15.55,0.0
2019-07-26,20.96,29.37,13.48,55.75,1.74,19.5,0.0
2019-07-27,20.18,28.82,13.4,54.55,2.06,21.35,0.0
2019-07-28,20.39,28.22,12.62,57.32,1.56,18.68,0.0
2019-07-29,21.21,28.37,13.52,59.6,1.24,17.27,0.0
2019-07-30,20.67,25.37,16.77,72.55,1.06,10.42,16.46
2019-07-31,20.16,24.36,16.39,76.81,1.48,8.24,21.44
2019-08-01,20.87,27.1,15.67,73.94,1.75,14.05,0.82
2019-08-02,21.07,26.14,16.33,73.33,1.96,9.65,2.18
2019-08-03,20.76,26.4,15.99,73.73,1.95,13.78,3.8
2019-08-04,21.17,28.7,14.26,67.36,2.28,24.03,0.39
2019-08-05,21.18,29.22,13.23,61.63,2.24,24.37,0.0
2019-08-06,21.67,29.28,14.27,64.08,1.61,23.09,0.04
2019-08-07,22.59,29.5,15.37,60.93,1.63,15.98,0.12
2019-08-08,22.37,28.24,18.24,66.64,1.91,13.75,5.01
2019-08-09,22.1,28.46,15.7,68.3,1.89,18.42,0.71
2019-08-10,22.05,27.3,17.44,67.45,1.98,10.73,0.32
2019-08-11,21.82,27.75,16.53,65.9,2.12,14.86,0.6
2019-08-12,21.96,28.15,16.46,63.03,1.83,20.1,0.04
2019-08-13,21.61,28.93,14.59,60.65,2.06,22.1,0.0
2019-08-14,20.82,28.81,13.46,59.22,2.51,24.1,0.0
2019-08-15,20.08,28.48,12.4,56.7,2.69,25.23,0.0
2019-08-16,20.14,28.06,13.61,58.59,2.72,23.26,0.05
2019-08-17,21.36,28.63,14.53,60.66,1.91,21.41,1.15
2019-08-18,22.37,29.26,16.63,63.38,2.1,19.88,1.2
2019-08-19,22.43,29.01,15.39,62.25,2.06,18.76,0.26
2019-08-20,22.25,29.16,17.69,62.92,1.98,18.17,0.45
2019-08-21,21.32,27.73,16.2,65.68,2.54,14.8,1.57
2019-08-22,21.36,27.82,15.74,66.15,2.35,17.51,2.12
2019-08-23,21.65,28.51,15.82,64.82,2.31,17.82,0.33
2019-08-24,21.34,28.52,15.18,65.55,2.09,20.72,0.06
2019-08-25,20.26,25.29,16.89,71.47,2.63,11.29,1.14
2019-08-26,22.11,29.49,15.36,63.32,2.59,17.76,0.29
2019-08-27,21.81,27.35,16.48,67.37,1.85,18.21,0.82
2019-08-28,22.03,28.91,16.65,67.65,1.44,19.87,0.65
2019-08-29,21.68,28.22,17.05,70.16,1.43,20.11,3.18
2019-08-30,21.43,27.53,16.87,72.88,1.39,15.0,3.99
2019-08-31,21.42,27.88,16.74,72.53,1.59,15.58,7.11
2019-09-01,20.93,26.97,16.7,75.71,1.51,16.21,1.88
2019-09-02,22.11,29.35,16.28,72.97,1.53,21.87,7.02
2019-09-03,20.98,25.36,17.81,76.93,1.79,14.3,7.28
2019-09-04,21.8,28.26,14.94,68.73,1.94,19.82,0.11
2019-09-05,22.12,28.5,16.36,66.01,1.82,20.4,0.03
2019-09-06,22.35,27.44,17.94,65.3,1.69,16.44,0.61
2019-09-07,22.18,28.85,16.22,64.31,2.43,14.51,0.1
2019-09-08,21.38,26.59,17.34,64.85,2.27,18.49,0.18
2019-09-09,21.93,28.69,16.09,60.6,2.22,20.57,0.02
2019-09-10,21.74,28.35,17.32,67.14,2.08,18.02,0.6
2019-09-11,22.14,29.42,16.22,69.11,1.8,15.78,1.55
2019-09-12,21.83,28.36,17.19,70.97,1.87,17.65,8.94
2019-09-13,22.14,29.0,16.17,70.11,1.54,20.84,1.88
2019-09-14,22.79,30.14,16.76,66.72,1.61,21.67,0.19
2019-09-15,22.51,29.45,16.29,67.92,1.73,23.71,0.81
2019-09-16,22.53,30.03,17.19,66.81,2.34,14.9,3.45
2019-09-17,22.53,29.78,16.73,64.07,2.33,21.57,0.07
2019-09-18,22.76,29.88,17.39,65.18,2.4,18.91,3.09
2019-09-19,21.97,29.17,16.31,68.41,2.02,22.52,4.7
2019-09-20,22.12,29.44,16.4,63.54,2.43,22.19,1.08
2019-09-21,22.8,30.45,16.32,62.35,2.23,21.68,3.13
2019-09-22,22.74,29.5,17.65,68.13,1.72,21.63,1.45
2019-09-23,22.94,29.13,17.94,67.63,1.83,22.09,2.25
2019-09-24,22.81,30.08,16.88,65.88,1.48,23.16,0.71
2019-09-25,21.32,26.62,17.08,72.72,1.52,15.14,7.02
2019-09-26,21.17,27.16,17.34,74.45,2.06,13.57,4.19
2019-09-27,20.07,23.77,16.54,78.43,2.15,11.73,4.53
2019-09-28,20.57,25.66,17.35,78.44,1.28,14.98,9.69
2019-09-29,22.07,28.31,15.95,71.77,1.34,22.05,4.57
2019-09-30,20.43,23.67,17.04,79.36,1.13,8.74,4.54
2019-10-01,21.05,26.47,15.65,76.06,1.56,20.86,3.41
2019-10-02,21.03,25.36,17.13,75.36,1.53,14.11,7.15
2019-10-03,19.65,24.06,16.31,82.9,1.83,15.78,19.91
2019-10-04,21.31,28.16,15.06,69.28,2.51,21.04,0.34
2019-10-05,20.53,27.63,13.23,68.42,2.38,20.53,0.15
2019-10-06,19.85,24.04,17.21,86.06,2.22,13.58,46.45
2019-10-07,20.35,25.23,16.68,79.0,1.9,16.07,3.12
2019-10-08,20.14,25.92,13.56,74.47,2.18,21.18,2.21
2019-10-09,20.0,24.75,16.56,78.29,1.0,21.94,6.48
2019-10-10,19.81,24.68,16.43,84.36,1.73,16.26,4.92
2019-10-11,19.78,23.11,17.14,87.61,1.35,12.36,123.69
2019-10-12,19.67,22.64,15.8,85.08,1.84,9.42,6.59
2019-10-13,19.96,24.99,15.88,82.55,2.14,12.81,5.52
2019-10-14,19.46,22.98,16.51,88.26,1.52,7.92,40.6
2019-10-15,19.87,25.47,15.17,84.39,1.71,19.85,2.59
2019-10-16,20.4,24.74,15.64,78.73,1.35,15.4,3.84
2019-10-17,20.68,25.85,15.76,77.9,1.28,17.86,1.92
2019-10-18,18.66,21.57,15.67,88.94,1.49,14.06,2.22
2019-10-19,20.48,26.17,14.73,76.34,1.41,18.44,0.84
2019-10-20,19.95,24.12,15.43,83.76,1.1,15.4,1.67
2019-10-21,20.73,25.55,16.13,81.35,1.41,13.2,1.64
2019-10-22,20.87,26.4,15.75,79.98,1.37,19.25,0.76
2019-10-23,20.73,25.87,16.74,80.0,1.36,18.17,1.85
2019-10-24,19.34,22.0,16.47,86.53,1.15,11.37,14.44
2019-10-25,20.6,26.43,15.3,78.7,1.92,17.69,3.45
2019-10-26,19.47,23.42,16.47,82.97,1.31,11.95,32.25
2019-10-27,19.25,21.94,15.96,86.14,1.31,15.06,15.7
2019-10-28,18.67,23.27,15.29,87.44,1.54,11.19,3.2
2019-10-29,20.1,26.29,15.16,79.41,1.49,19.12,2.99
2019-10-30,19.55,24.09,15.1,83.67,1.32,15.28,4.76
2019-10-31,18.68,21.73,15.36,87.09,1.16,9.26,8.17
2019-11-01,19.21,23.75,15.41,82.68,1.16,18.07,6.25
2019-11-02,19.67,23.87,14.89,78.84,1.36,18.82,2.2
2019-11-03,20.65,25.71,16.13,75.12,1.52,19.5,0.89
2019-11-04,20.16,25.57,15.91,82.13,1.58,22.58,3.18
2019-11-05,20.17,24.42,15.32,78.82,1.5,22.98,1.74
2019-11-06,20.06,25.4,15.26,81.44,1.78,17.16,2.39
2019-11-07,20.21,25.34,15.68,79.47,1.43,15.99,1.94
2019-11-08,20.73,25.44,16.38,79.64,1.37,17.37,4.76
2019-11-09,21.06,25.44,17.57,78.22,1.5,19.82,1.93
2019-11-10,20.27,25.45,16.08,83.17,1.68,18.15,3.53
2019-11-11,20.96,26.35,16.56,81.77,1.52,14.66,2.05
2019-11-12,20.45,24.56,16.59,85.46,1.38,15.08,4.94
2019-11-13,19.45,22.69,16.35,87.32,1.33,17.95,2.52
2019-11-14,19.65,23.79,16.19,83.16,1.19,9.48,3.53
2019-11-15,20.33,25.11,15.84,81.32,1.49,21.14,4.65
2019-11-16,20.61,25.88,15.53,84.79,1.55,20.84,6.97
2019-11-17,20.18,24.8,16.79,89.04,1.47,18.11,7.55
2019-11-18,19.63,23.72,17.14,88.22,1.2,16.44,7.23
2019-11-19,18.79,22.17,15.93,90.23,1.06,12.23,1.92
2019-11-20,20.23,24.68,16.29,81.68,1.23,13.95,8.97
2019-11-21,19.99,23.38,16.75,83.33,1.14,16.11,0.71
2019-11-22,20.81,25.32,15.66,78.51,1.12,19.51,0.76
2019-11-23,18.63,22.15,15.46,90.51,1.69,6.63,15.2
2019-11-24,19.2,22.32,16.31,86.53,0.92,12.73,3.26
2019-11-25,19.07,22.77,16.12,87.29,1.05,10.75,9.28
2019-11-26,19.66,24.27,15.41,85.79,0.59,19.01,7.51
2019-11-27,20.33,25.49,16.78,84.62,1.51,17.14,5.32
2019-11-28,19.92,25.21,15.37,84.16,1.61,15.36,4.65
2019-11-29,20.59,25.64,15.84,82.81,1.24,13.09,3.31
2019-11-30,20.29,24.76,16.37,84.84,1.07,17.42,18.01
2019-12-01,20.85,25.97,16.61,84.93,1.04,10.31,20.11
2019-12-02,20.0,22.62,18.05,87.98,0.96,16.35,11.28
2019-12-03,20.41,25.52,16.94,86.3,1.44,12.1,4.44
2019-12-04,18.68,21.63,16.61,91.48,1.1,13.25,4.19
2019-12-05,20.01,25.47,15.42,82.64,1.42,17.89,1.41
2019-12-06,19.81,24.76,15.59,86.27,1.35,15.69,2.0
2019-12-07,20.12,25.41,15.44,86.51,1.4,12.66,5.34
2019-12-08,20.66,25.06,17.42,86.33,1.12,9.99,3.6
2019-12-09,20.28,24.95,17.32,86.92,1.12,11.51,1.66
2019-12-10,20.15,24.7,16.39,85.39,1.31,15.34,1.57
2019-12-11,19.52,23.35,16.01,86.38,1.31,12.93,3.97
2019-12-12,19.47,25.01,15.09,84.01,1.15,15.77,2.84
2019-12-13,20.01,24.55,15.28,81.69,1.19,12.98,1.45
2019-12-14,20.1,24.98,15.62,81.15,1.33,21.52,0.58
2019-12-15,20.55,25.99,15.81,80.48,1.11,19.01,1.7
2019-12-16,20.43,25.57,15.09,81.98,1.24,19.83,2.7
2019-12-17,20.42,25.62,15.51,81.71,1.2,21.2,0.41
2019-12-18,20.16,24.86,15.86,84.91,1.55,19.46,0.77
2019-12-19,20.52,25.97,15.91,82.49,1.79,19.35,0.97
2019-12-20,20.93,26.39,14.66,73.47,1.54,20.04,0.09
2019-12-21,21.13,26.89,15.89,77.93,1.46,18.12,1.72
2019-12-22,20.66,25.59,16.41,84.05,1.43,16.05,5.08
2019-12-23,20.39,24.08,17.2,82.21,1.1,15.48,1.3
2019-12-24,20.68,26.36,15.63,81.48,1.33,18.38,1.17
2019-12-25,20.88,26.55,15.34,82.57,1.25,19.87,23.8
2019-12-26,19.61,23.27,16.77,90.18,1.38,13.64,31.37
2019-12-27,21.02,26.98,15.6,79.17,0.98,17.15,0.24
2019-12-28,20.9,26.13,16.12,82.91,1.56,14.96,1.25
2019-12-29,20.93,26.11,16.47,81.26,1.55,18.99,1.0
2019-12-30,20.66,26.28,15.88,80.34,1.87,19.67,0.74
2019-12-31,20.71,25.73,16.47,80.85,1.32,20.69,1.3
2020-01-01,21.07,26.84,15.68,79.94,1.71,23.66,2.77
2020-01-02,21.4,27.14,16.62,79.19,1.62,21.56,1.76
2020-01-03,21.03,25.53,16.5,79.43,1.37,19.54,2.44
2020-01-04,20.38,24.32,16.23,82.4,1.13,16.53,23.71
2020-01-05,20.38,24.6,15.65,84.3,1.09,16.0,3.29
2020-01-06,20.17,24.58,16.16,82.83,1.57,12.04,0.61
2020-01-07,20.12,24.78,16.62,83.14,1.69,16.81,0.4
2020-01-08,19.27,22.99,16.08,85.98,0.99,13.59,5.98
2020-01-09,19.83,25.26,14.83,83.13,1.26,12.72,7.02
2020-01-10,19.65,23.13,16.26,84.07,1.53,16.57,1.08
2020-01-11,19.71,24.86,14.68,79.94,1.41,11.28,1.28
2020-01-12,20.52,26.33,15.19,77.98,1.06,11.1,1.31
2020-01-13,20.01,24.66,16.83,83.49,0.83,18.71,5.41
2020-01-14,20.83,27.49,15.08,77.04,1.76,23.83,0.04
2020-01-15,21.21,27.22,15.47,75.55,1.62,24.4,0.54
2020-01-16,21.71,27.3,15.82,74.66,1.12,19.76,0.1
2020-01-17,19.91,23.21,17.39,87.23,1.15,16.92,3.58
2020-01-18,20.83,26.8,16.37,80.78,1.73,14.62,2.15
2020-01-19,20.85,26.76,17.17,79.26,1.74,14.68,1.17
2020-01-20,21.06,27.18,15.85,77.42,1.4,20.32,0.33
2020-01-21,21.45,28.18,15.27,75.13,1.86,23.38,0.04
2020-01-22,21.67,28.11,15.27,71.12,1.68,18.85,0.06
2020-01-23,21.2,26.12,17.2,80.11,1.54,13.61,3.42
2020-01-24,21.3,26.14,17.76,77.93,1.46,9.4,7.55
2020-01-25,21.07,26.15,17.03,73.04,1.76,19.61,1.56
2020-01-26,20.23,25.12,16.09,78.85,1.74,11.88,3.68
2020-01-27,20.99,25.77,17.34,83.03,1.81,12.3,3.63
2020-01-28,19.91,25.18,16.29,87.37,1.7,6.22,16.26
2020-01-29,19.28,22.38,16.55,84.58,1.19,11.39,5.54
2020-01-30,19.8,24.56,15.84,82.9,1.24,14.42,3.16
2020-01-31,19.76,24.62,15.29,83.4,0.95,17.45,1.41
